"","Connectivity","P_value"
"Prestwick-1100",-0.25603,0.0398759028954385
"etacrynic acid",-0.26524,0.0398783500701104
"monastrol",-0.26689,0.0410081288687294
"amantadine",-0.2685,0.041079678325271
"dihydroergotamine",-0.243845,0.0415763824199042
"cloxacillin",-0.25488,0.0422029141219956
"etodolac",0.26068,0.0422338785598215
"dizocilpine",-0.2418,0.0428316576368315
"apigenin",-0.313645,0.0434756925510525
"etifenin",0.2541,0.0437427398012085
"bufexamac",-0.256815,0.044041819710682
"0175029-0000",-0.279085,0.0450529431979558
"alverine",-0.255155,0.0451533201470497
"famprofazone",-0.249445,0.0460330585052961
"papaverine",-0.261865,0.0470950895862309
"clemastine",-0.249405,0.0472996335930712
"alprenolol",-0.246935,0.047301216744337
"homochlorcyclizine",-0.283575,0.0490357187272223
"camptothecin",-0.29514,0.0496328920830472
"protriptyline",-0.27756,0.0496642065757099
"BCB000038",-0.2905,0.0497607958329657
"ajmaline",-0.261125,0.0503532956005862
"enilconazole",-0.23326,0.0518215089797048
"AG-013608",-0.290095,0.0524779512008348
"5230742",0.26237,0.0527599575165996
"amoxapine",-0.25556,0.05289521624751
"ellipticine",-0.287035,0.0532228733684496
"picotamide",-0.248775,0.0537924674972339
"glipizide",-0.239255,0.0539629900801407
"ionomycin",-0.26191,0.0540324519218103
"tranylcypromine",-0.23654,0.0544582839936091
"ciclopirox",-0.282845,0.0552642387202971
"verapamil",-0.273155,0.0555449875314147
"Prestwick-665",-0.249995,0.056219083966721
"gliclazide",-0.241665,0.0592293237625756
"thiostrepton",-0.25393,0.0597151963808871
"moxisylyte",0.249095,0.0605598375008435
"pentoxyverine",-0.23964,0.0614346166053124
"cyclic adenosine monophosphate",0.24252,0.062387411715212
"N6-methyladenosine",0.25043,0.0645615402482956
"novobiocin",-0.244615,0.0657666662217431
"piribedil",-0.243325,0.0670281068389442
"colchicine",-0.249335,0.0670687629148159
"10-methoxyharmalan",-0.22822,0.067600212913024
"cyproheptadine",-0.242175,0.0677712010234458
"STOCK1N-35215",-0.318185,0.0680811109239092
"ketorolac",0.23233,0.068607952433011
"ifenprodil",-0.23705,0.0707812453468581
"tubocurarine chloride",-0.26055,0.071430537310946
"meclozine",-0.243275,0.0716775731647322
"benzthiazide",0.24571,0.0728886124145659
"diperodon",0.2443,0.0737025996768366
"pivampicillin",-0.23388,0.0737677448797949
"berberine",-0.237355,0.0741721920455575
"clindamycin",-0.2422,0.0746340716087974
"acemetacin",0.23281,0.0747392052130545
"benzethonium chloride",-0.273555,0.074978166272768
"erastin",-0.30295,0.0752694469864442
"loxapine",0.235535,0.0753009980656614
"fenbendazole",-0.25538,0.0754305981363072
"piperacetazine",-0.247335,0.0763760724424471
"dipyridamole",-0.302375,0.0767579626647904
"hesperetin",-0.263955,0.0769562579255152
"thiamine",-0.267025,0.0774557829093982
"latamoxef",-0.229435,0.0780917976025582
"Y-27632",0.241285,0.0799893354508571
"ivermectin",-0.23928,0.0812165414038899
"diclofenac",-0.243725,0.0820957917941483
"zimeldine",-0.26931,0.0821344398236662
"etoposide",-0.25809,0.0831845703666918
"MS-275",-0.74283,0.0849090571924429
"luteolin",-0.276955,0.0853930908475685
"BCB000040",-0.247565,0.0855598235293017
"biotin",0.234925,0.0860040785063626
"ipratropium bromide",-0.256885,0.0862887723052346
"alimemazine",-0.24406,0.086488465416696
"clotrimazole",-0.262,0.0873639379874944
"15(S)-15-methylprostaglandin E2",0.255835,0.0878106946136018
"piperlongumine",-0.2628,0.0878257994560893
"haloperidol",-0.23837,0.0888912827839313
"apomorphine",-0.25746,0.0902012875375224
"succinylsulfathiazole",-0.22764,0.0910415310314567
"AG-012559",0.33694,0.0913299146444238
"dicycloverine",0.24447,0.0920408738320839
"canavanine",-0.239675,0.09247682228476
"clozapine",-0.222945,0.0930256962455512
"thioproperazine",-0.237915,0.0933667208614084
"oxolinic acid",0.232525,0.0952171371814241
"quinpirole",-0.24778,0.0955809836866878
"monensin",-0.26986,0.0955822991546355
"nifuroxazide",-0.237645,0.0967940653809646
"caffeic acid",-0.25015,0.0980301165806687
"paroxetine",0.23355,0.0987173555695293
"ketanserin",-0.243205,0.0992958666181524
"genistein",-0.243165,0.100014321375564
"cicloheximide",0.29671,0.100713425623314
"budesonide",-0.24308,0.101835980248737
"dilazep",-0.26143,0.102402591351709
"aminophylline",0.230125,0.10417520739647
"nabumetone",-0.23503,0.104448093294436
"astemizole",-0.266265,0.10467742500201
"propranolol",-0.23758,0.105326382981539
"sulfapyridine",-0.22983,0.105326696082712
"PHA-00846566E",0.33062,0.105441408818362
"SC-58125",-0.2698,0.106548291276471
"canrenoic acid",-0.236165,0.10691551691342
"PHA-00816795",0.72392,0.110153695991961
"dexamethasone",-0.23982,0.111791052000503
"H-7",-0.26296,0.111832566633257
"chlorphenesin",-0.231885,0.114234180541879
"metformin",0.25663,0.114234887881075
"lisuride",0.214355,0.115075564971848
"Prestwick-983",-0.24166,0.116647823601728
"wortmannin",-0.258745,0.116982272274284
"harpagoside",0.223275,0.117854366662578
"promethazine",-0.227175,0.118926118206405
"zuclopenthixol",-0.238245,0.119428170943913
"5109870",-0.30329,0.119582346651325
"withaferin A",-0.271815,0.120535300365231
"econazole",-0.23943,0.120652265043699
"nomifensine",0.23684,0.122415948564501
"propafenone",-0.289445,0.124289584913184
"furosemide",0.273425,0.125100468572597
"levodopa",-0.23351,0.12672917352187
"oxamniquine",0.223495,0.127483459849822
"methylbenzethonium chloride",-0.26677,0.128718175108473
"CP-645525-01",-0.353025,0.131947115118595
"dextromethorphan",-0.232305,0.132522870168916
"benfluorex",0.234015,0.133916833110138
"cephaeline",0.270155,0.134042676317803
"tonzonium bromide",-0.261965,0.134362359238238
"PF-00875133-00",-0.318845,0.13585818220231
"etynodiol",-0.232145,0.136173197569967
"proxymetacaine",-0.234605,0.136175174312166
"piretanide",0.25423,0.139606762773437
"rofecoxib",-0.2376,0.142484734483594
"pimethixene",-0.22491,0.143930295667284
"midodrine",-0.23365,0.144519068554999
"perphenazine",-0.253065,0.144589731112248
"homosalate",-0.219015,0.146051275508805
"oxaprozin",-0.232315,0.146707146254552
"anisomycin",0.28428,0.146992492220671
"xylazine",-0.233585,0.147885898660774
"foliosidine",0.21625,0.149082507426758
"16,16-dimethylprostaglandin E2",0.292235,0.14927500690018
"ticarcillin",-0.232905,0.149458834881948
"buspirone",0.195885,0.149832618684332
"ciclosporin",-0.25661,0.151101740761011
"levocabastine",0.22,0.155130390955881
"ethionamide",0.232265,0.156773447031745
"atropine oxide",0.218175,0.161838627766884
"emetine",0.260215,0.163978027034625
"securinine",0.240205,0.165396840035193
"cotinine",-0.25133,0.165440491920356
"pipemidic acid",-0.22432,0.165822779824488
"alfadolone",0.22293,0.171378166489369
"scopolamine N-oxide",-0.222665,0.173497672880812
"Prestwick-664",0.218185,0.177315596536202
"lidoflazine",-0.2284,0.178558550401887
"praziquantel",-0.2209,0.179329415654583
"16-phenyltetranorprostaglandin E2",-0.239275,0.182824286417391
"CAY-10397",-0.286225,0.184647010197379
"bethanechol",0.22653,0.185780220557057
"Prestwick-864",0.2196,0.187386678125892
"iodixanol",0.221615,0.187610370946634
"pipenzolate bromide",-0.2339,0.187990416405133
"isometheptene",0.211265,0.188703357788823
"colecalciferol",0.20756,0.190325193501167
"zaprinast",0.24193,0.191386547080357
"chlorcyclizine",-0.23054,0.192024588358359
"pirenzepine",0.23669,0.193613604606295
"betulin",-0.234695,0.196329656390734
"ioxaglic acid",-0.226985,0.197837731064896
"napelline",-0.225445,0.197934164254256
"progesterone",-0.22556,0.203179558819403
"mycophenolic acid",-0.25398,0.204516693818611
"trimipramine",-0.24266,0.205584836531025
"karakoline",0.21534,0.207054592048176
"flunisolide",-0.2299,0.20810265735963
"tinidazole",-0.223065,0.209488564764797
"harmol",-0.233925,0.210359785077848
"trimetazidine",0.212555,0.21320411015055
"thiethylperazine",-0.23074,0.213681238522734
"urapidil",0.221395,0.214949199823746
"thiocolchicoside",0.207725,0.215637260177334
"furaltadone",-0.209205,0.218213158687921
"methylergometrine",-0.223255,0.220887125969787
"protoveratrine A",0.22816,0.222396091477531
"tretinoin",-0.235855,0.222858964167241
"perhexiline",-0.24621,0.222985270204673
"phensuximide",-0.2244,0.22332488115022
"scriptaid",-0.324275,0.226326775478451
"S-propranolol",-0.223235,0.226716462280612
"acetylsalicylsalicylic acid",0.22767,0.227929464667436
"monobenzone",-0.2439,0.229669547450951
"PHA-00767505E",0.26954,0.22969235981117
"terfenadine",-0.24684,0.230359111998491
"orphenadrine",-0.22407,0.231674915767754
"sulfametoxydiazine",-0.21805,0.232734186063818
"tracazolate",-0.233025,0.233210961221481
"megestrol",-0.218405,0.23498586226211
"doxorubicin",-0.270415,0.235786795139986
"ethosuximide",-0.234135,0.236166489752524
"phenelzine",0.211995,0.238645656959501
"kaempferol",-0.230205,0.242543184692266
"carmustine",0.295625,0.245222248853919
"raubasine",-0.21636,0.247903766420544
"N-acetylmuramic acid",-0.22386,0.248301131023823
"colforsin",-0.23415,0.249635717410491
"vidarabine",-0.218575,0.25254422055005
"labetalol",-0.21684,0.254098671619423
"tetroquinone",-0.21599,0.25435675070598
"dinoprost",0.2127,0.255508184073175
"ricinine",0.218195,0.257594098527439
"iobenguane",-0.220895,0.259368164982151
"SR-95531",0.22011,0.25992983883163
"phenformin",-0.209375,0.259933797424374
"Prestwick-972",0.217645,0.26296343289819
"ciclacillin",0.230925,0.263637800334319
"AH-23848",0.29032,0.264328081754276
"sulfamerazine",0.209495,0.26753604279879
"iohexol",-0.21713,0.271491490565499
"spiradoline",0.21377,0.271654393541895
"sodium phenylbutyrate",-0.230175,0.276614302969947
"pheneticillin",0.21666,0.278470840019349
"ciprofloxacin",0.21404,0.280119259170273
"hymecromone",0.204285,0.280147792501248
"hydrastinine",-0.21452,0.282601911565003
"spironolactone",-0.22303,0.283652838451424
"viomycin",-0.207485,0.283998402346913
"acetylsalicylic acid",-0.20994,0.294163794385205
"mometasone",-0.22089,0.29489847709722
"5286656",0.22684,0.297502326391053
"15-delta prostaglandin J2",-0.25893,0.298625462325016
"chlorphenamine",0.21472,0.298964324054294
"mevalolactone",-0.21046,0.300176030334076
"3-nitropropionic acid",0.26036,0.300760908345369
"loracarbef",0.200965,0.301193428167479
"diltiazem",-0.21628,0.302262523817443
"aminoglutethimide",0.20647,0.302447659716033
"zardaverine",-0.218125,0.304996615747912
"alfuzosin",-0.20987,0.309235145539983
"beta-escin",-0.21867,0.311301877966215
"pramocaine",-0.216705,0.311908570940142
"methocarbamol",-0.207915,0.31224520542731
"clioquinol",-0.23273,0.312499576552902
"cytochalasin B",-0.23614,0.313669910762901
"IC-86621",0.245415,0.315781099870388
"guaifenesin",-0.211385,0.316631787480009
"cefuroxime",-0.22058,0.31847130883832
"alexidine",-0.24045,0.319178371979783
"halofantrine",-0.23013,0.321020683113374
"equilin",-0.226685,0.323206152119602
"hydrastine hydrochloride",-0.204615,0.324612515844274
"sulfachlorpyridazine",0.214215,0.325229465933292
"folic acid",0.20601,0.33158835825119
"etidronic acid",-0.21116,0.33264417706984
"procarbazine",-0.211105,0.334032647028475
"ethoxyquin",-0.20965,0.334583510570464
"ornidazole",-0.20975,0.335948763680095
"trifluridine",-0.234215,0.337467068584871
"procainamide",-0.19808,0.337567944318094
"esculetin",-0.226115,0.338952236413399
"metronidazole",-0.18445,0.340316711699772
"CP-320650-01",-0.22333,0.340657631956692
"Prestwick-674",0.204705,0.342909128982859
"dimethadione",-0.20098,0.342946914402783
"ritodrine",-0.21546,0.346663607932642
"staurosporine",-0.250955,0.349418460219357
"disopyramide",0.215765,0.352180253523591
"ganciclovir",0.203795,0.353450991335219
"betahistine",0.205825,0.355244733893383
"hydralazine",-0.19718,0.357426978044071
"oxyphenbutazone",-0.22972,0.361114298458263
"hydroxyachillin",-0.211715,0.361966537490608
"etofenamate",-0.215995,0.362172129026917
"Prestwick-860",-0.209505,0.362360259518324
"mifepristone",-0.21558,0.364558864972196
"kinetin",-0.21799,0.366781344120643
"dienestrol",-0.21888,0.375223883502974
"metergoline",-0.213095,0.375892626225283
"thapsigargin",0.30168,0.375901525997229
"flucloxacillin",0.211765,0.377793566994876
"amoxicillin",-0.21114,0.377899417953761
"atropine methonitrate",0.21409,0.377950199890792
"0316684-0000",-0.252525,0.379603900680404
"fenbufen",-0.21127,0.380434231162071
"calycanthine",0.207535,0.380911516750101
"demeclocycline",-0.208165,0.382444180295203
"probenecid",0.219095,0.382530576694007
"cefamandole",-0.21112,0.383445513537382
"flutamide",-0.20416,0.385137580124196
"metoclopramide",0.21458,0.38974843573486
"bacampicillin",-0.215455,0.392999573276121
"harmaline",0.20841,0.398750072504916
"proxyphylline",0.207175,0.400613515046984
"levothyroxine sodium",0.208895,0.401994054357707
"levamisole",-0.199305,0.408625163719064
"cyanocobalamin",-0.19614,0.413069002588642
"thalidomide",0.21996,0.413733676869091
"captopril",0.207345,0.416723589001358
"skimmianine",-0.209815,0.417055567468228
"gossypol",-0.252745,0.427603377054236
"metoprolol",-0.19907,0.429170812073265
"naloxone",-0.208805,0.436072378403324
"6-benzylaminopurine",0.210735,0.437207529707027
"quipazine",-0.20934,0.438714597721265
"nordihydroguaiaretic acid",-0.222445,0.440119261236143
"niflumic acid",0.21188,0.451542792335158
"5224221",-0.240405,0.451754789374833
"isradipine",-0.20828,0.453451067336242
"butirosin",0.20202,0.457165991113914
"MK-886",-0.49682,0.461770787980266
"mephentermine",-0.20448,0.46551489932455
"triamterene",-0.213115,0.466459590760342
"citalopram",0.212815,0.472896161428801
"5149715",0.22608,0.473349270562675
"prenylamine",-0.21779,0.476881761059523
"lomefloxacin",-0.20452,0.478247688447831
"indometacin",0.19879,0.478963583387121
"corbadrine",-0.20365,0.485921514829937
"vinblastine",-0.26186,0.489583390063666
"0225151-0000",-0.27361,0.490245858300194
"amodiaquine",-0.205405,0.491404063281441
"nialamide",0.209285,0.493506783372123
"5182598",0.239685,0.496701333862271
"dequalinium chloride",-0.21049,0.498333202563838
"0297417-0002B",-0.27834,0.501365873214875
"naringenin",-0.210005,0.504940651804057
"mepacrine",-0.222565,0.505965874614986
"bacitracin",-0.20953,0.510014311946978
"yohimbine",0.20358,0.514430857793573
"doxepin",0.203575,0.516350697963959
"moxonidine",0.20123,0.520844496993318
"parthenolide",-0.237915,0.521889191922232
"spiramycin",0.202515,0.524376699370789
"ambroxol",0.195865,0.524423029021531
"ribavirin",0.21166,0.524972516322919
"5252917",-0.211285,0.540223429686637
"apramycin",0.202135,0.541030646088447
"mefexamide",0.181805,0.542040832387911
"5255229",0.209245,0.542648402313049
"3-hydroxy-DL-kynurenine",-0.220655,0.544382580616223
"cefepime",0.182935,0.54728294891004
"scoulerine",-0.190435,0.555681097672482
"clomifene",-0.21037,0.556459972511464
"procaine",-0.20579,0.556849596449969
"bambuterol",-0.207225,0.561958682270876
"nipecotic acid",-0.198905,0.568025473113557
"nizatidine",0.19569,0.571164305794552
"trioxysalen",-0.20625,0.571532920500561
"(-)-MK-801",-0.207945,0.572902779747699
"kanamycin",-0.215045,0.576272879693252
"netilmicin",0.20492,0.576354249507484
"celastrol",-0.252145,0.578282456982974
"mephenesin",-0.19698,0.580556022429345
"monorden",0.23245,0.589047257338886
"naphazoline",-0.19565,0.597115972995556
"procyclidine",-0.198545,0.601052929593318
"metanephrine",0.193915,0.602981425106624
"baclofen",-0.232865,0.603455392125046
"glycocholic acid",-0.204915,0.605767553066632
"terconazole",-0.200325,0.606034940725653
"LM-1685",-0.270115,0.609866348275592
"ethambutol",-0.193745,0.612626844132321
"guanfacine",-0.198525,0.613058875588832
"daunorubicin",-0.23473,0.613593681381865
"ozagrel",0.198545,0.615352489464519
"flufenamic acid",-0.200075,0.615921373100194
"tolnaftate",-0.188845,0.618563040910885
"etomidate",-0.2076,0.621810177983111
"TTNPB",0.42567,0.625987354576118
"stachydrine",-0.183985,0.631129552930028
"lomustine",-0.253755,0.63126178048359
"hexamethonium bromide",0.19732,0.633228534456472
"BAS-012416453",0.24796,0.635812592952044
"profenamine",0.191555,0.637154298740694
"lymecycline",-0.198555,0.643717662345284
"lysergol",-0.20273,0.646145751808909
"ceftazidime",-0.20105,0.650011955818101
"2-aminobenzenesulfonamide",0.194135,0.658805269012346
"antazoline",-0.18955,0.65886762610204
"exisulind",0.402235,0.661147750541831
"PNU-0293363",-0.26048,0.663457553351769
"bemegride",-0.190385,0.665735381521208
"canadine",-0.20131,0.670976898427031
"brompheniramine",-0.184245,0.683527643593044
"hydrocortisone",0.18917,0.69027415653729
"aceclofenac",-0.187765,0.703798153815597
"bendroflumethiazide",0.18512,0.704427344664609
"noretynodrel",-0.202405,0.712152380220098
"Chicago Sky Blue 6B",0.188525,0.713182608157455
"hydrocotarnine",-0.18573,0.718353775170007
"hecogenin",-0.19886,0.721835048034672
"bromperidol",-0.193375,0.732070000550927
"cinchocaine",-0.197225,0.736924228406585
"piperacillin",-0.17844,0.737196873366206
"SC-560",0.242175,0.742029458489011
"fluvoxamine",-0.20112,0.746324362497418
"CP-863187",-0.217005,0.747435182899885
"blebbistatin",-0.19791,0.747681929979448
"amprolium",0.17433,0.753912145819634
"benzylpenicillin",-0.192535,0.754386599150209
"methylprednisolone",-0.192445,0.756046735914362
"cyclizine",-0.17581,0.761081347487993
"moracizine",-0.18507,0.765880460347428
"chlorprothixene",-0.19319,0.766512627566735
"docosahexaenoic acid ethyl ester",0.195855,0.77162588827003
"mafenide",0.19271,0.777037113377351
"homatropine",0.19133,0.783412719641542
"sertaconazole",0.188335,0.786391831759774
"monocrotaline",0.18772,0.787734492033969
"simvastatin",-0.179915,0.791749233400814
"Prestwick-1084",0.180435,0.792428009320929
"carbamazepine",-0.18604,0.79267707257732
"alpha-yohimbine",0.18714,0.798138310780883
"salbutamol",-0.189355,0.800578107260611
"phenacetin",0.18877,0.804098105319225
"khellin",-0.18024,0.807536154561808
"dorzolamide",-0.1912,0.80825956395314
"0317956-0000",0.18086,0.811775292131233
"Prestwick-981",-0.19168,0.814491646769287
"clebopride",-0.18733,0.814803079888938
"carisoprodol",0.18869,0.817029168781914
"convolamine",0.19041,0.817047141825227
"pirlindole",-0.18747,0.817559207756553
"cyclopentolate",-0.18741,0.817620161982022
"adipiodone",-0.182705,0.818099024591755
"meteneprost",0.211085,0.818242531659461
"minaprine",0.183275,0.818259011320829
"ribostamycin",-0.186015,0.819838598219094
"halcinonide",0.19346,0.827270905866365
"quinethazone",0.19346,0.829497860000918
"indapamide",-0.188165,0.83479595781078
"sulfathiazole",0.18116,0.835819583277895
"tocainide",0.179495,0.839793395475719
"bromopride",-0.183585,0.844908041432579
"tremorine",-0.185885,0.845237662572465
"sulfadiazine",0.17944,0.845371521608246
"lithocholic acid",-0.16874,0.846573590279973
"Prestwick-920",-0.180905,0.846573590279973
"nifurtimox",0.18676,0.848912064603981
"gliquidone",-0.18622,0.864412906045049
"bretylium tosilate",0.185215,0.86446470296674
"benzydamine",-0.18469,0.865128907831175
"gabapentin",-0.18133,0.865727875456168
"chlorpropamide",-0.18988,0.870079990610636
"butein",-0.366535,0.871121588864008
"pentolonium",-0.178275,0.873727052140987
"molsidomine",-0.173465,0.879419198922326
"gelsemine",0.17891,0.882753237710665
"naftopidil",-0.19396,0.884326223508903
"cefmetazole",0.18085,0.902514354262989
"oxprenolol",0.182625,0.902870387331169
"cinnarizine",0.186415,0.903578361156513
"etilefrine",0.172415,0.904259819572452
"dicloxacillin",-0.183745,0.90511571675478
"ranitidine",-0.18001,0.906850883745534
"drofenine",-0.191695,0.907787293456086
"metampicillin",-0.17213,0.913365989686704
"vanoxerine",-0.19019,0.913907374974626
"CP-319743",0.199635,0.914183754940967
"tolmetin",-0.175015,0.920213986408416
"vitexin",-0.173605,0.926703562335278
"cisapride",-0.178495,0.93002456933961
"zalcitabine",0.172685,0.930113765639545
"oxymetazoline",-0.171105,0.931342333353271
"lactobionic acid",-0.169535,0.933861446323684
"isocarboxazid",-0.17384,0.939750700445868
"F0447-0125",0.21067,0.9422637741186
"piperine",-0.173995,0.949313681873953
"amrinone",0.17775,0.950515326812465
"trapidil",-0.177625,0.952982540116133
"isocorydine",-0.16794,0.958522048019432
"cefoperazone",-0.16954,0.960215491797973
"pentetrazol",-0.176065,0.960668501024534
"tyloxapol",0.174495,0.961288932172508
"STOCK1N-35874",-0.353415,0.963027292573539
"sulfamonomethoxine",0.1715,0.970042842878415
"sulfinpyrazone",-0.175065,0.970803088805086
"Prestwick-1085",-0.17159,0.971049232386713
"pirenperone",0.164355,0.973245113802926
"suramin sodium",0.192245,0.977396576956914
"arachidonyltrifluoromethane",0.33984,0.978643838276117
"lumicolchicine",-0.164335,0.979514259474875
"hexetidine",-0.17573,0.979862425542585
"alpha-ergocryptine",-0.173875,0.982765731999753
"pepstatin",-0.173825,0.982936255764711
"PF-01378883-00",-0.180495,0.99642738560569
"estradiol",0,1
"alpha-estradiol",0,1
"mesalazine",0,1
"tolbutamide",0,1
"tamoxifen",0,1
"amitriptyline",0,1
"sulindac",0,1
"sulfasalazine",0,1
"celecoxib",0,1
"tanespimycin",0,1
"clofibrate",0,1
"prednisolone",0,1
"fludrocortisone",0,1
"quercetin",0,1
"NU-1025",0,1
"mercaptopurine",0,1
"nitrendipine",0,1
"felodipine",0,1
"azathioprine",0,1
"fasudil",0,1
"imatinib",0,1
"pirinixic acid",0,1
"rosiglitazone",0,1
"troglitazone",0,1
"cobalt chloride",0,1
"tetraethylenepentamine",0,1
"iloprost",0,1
"copper sulfate",0,1
"W-13",0,1
"arachidonic acid",0,1
"calmidazolium",0,1
"bucladesine",0,1
"probucol",0,1
"geldanamycin",0,1
"benserazide",0,1
"pentamidine",0,1
"paclitaxel",0,1
"rottlerin",0,1
"prazosin",0,1
"5211181",0,1
"5248896",0,1
"5279552",0,1
"5253409",0,1
"ikarugamycin",0,1
"depudecin",0,1
"5186223",0,1
"5162773",0,1
"pararosaniline",0,1
"5152487",0,1
"5213008",0,1
"5186324",0,1
"5114445",0,1
"5151277",0,1
"5140203",0,1
"topiramate",0,1
"decitabine",0,1
"alvespimycin",0,1
"(-)-catechin",0,1
"demecolcine",0,1
"12,13-EODE",0,1
"doxycycline",0,1
"tyrphostin AG-825",0,1
"phenanthridinone",0,1
"DL-PPMP",0,1
"minocycline",0,1
"phentolamine",0,1
"MG-132",0,1
"thioguanosine",0,1
"naftidrofuryl",0,1
"zoxazolamine",0,1
"cefalexin",0,1
"bepridil",0,1
"bezafibrate",0,1
"oxantel",0,1
"ketoconazole",0,1
"bisoprolol",0,1
"droperidol",0,1
"benzbromarone",0,1
"fusidic acid",0,1
"hesperidin",0,1
"testosterone",0,1
"androsterone",0,1
"suloctidil",0,1
"coralyne",0,1
"domperidone",0,1
"ouabain",0,1
"arecoline",0,1
"carcinine",0,1
"corticosterone",0,1
"fusaric acid",0,1
"cefixime",0,1
"calcium pantothenate",0,1
"carbarsone",0,1
"metrizamide",0,1
"cefotetan",0,1
"dl-alpha tocopherol",0,1
"7-aminocephalosporanic acid",0,1
"ginkgolide A",0,1
"N-acetyl-L-aspartic acid",0,1
"cyclobenzaprine",0,1
"mebhydrolin",0,1
"myricetin",0,1
"SR-95639A",0,1
"buflomedil",0,1
"digitoxigenin",0,1
"carteolol",0,1
"meclocycline",0,1
"primaquine",0,1
"chlorogenic acid",0,1
"naltrexone",0,1
"mefloquine",0,1
"diazoxide",0,1
"disulfiram",0,1
"isoconazole",0,1
"gallamine triethiodide",0,1
"aminophenazone",0,1
"nalbuphine",0,1
"neomycin",0,1
"mianserin",0,1
"cefotaxime",0,1
"dihydrostreptomycin",0,1
"pindolol",0,1
"acenocoumarol",0,1
"triamcinolone",0,1
"tetracycline",0,1
"isoniazid",0,1
"tranexamic acid",0,1
"piroxicam",0,1
"norfloxacin",0,1
"etofylline",0,1
"tiratricol",0,1
"pyrantel",0,1
"chlorzoxazone",0,1
"pargyline",0,1
"fenspiride",0,1
"xylometazoline",0,1
"hyoscyamine",0,1
"nimesulide",0,1
"flumequine",0,1
"gemfibrozil",0,1
"aztreonam",0,1
"tolfenamic acid",0,1
"nifenazone",0,1
"iproniazid",0,1
"pentoxifylline",0,1
"meclofenamic acid",0,1
